web_route,web_feature,mobile_path,parity_status,notes
/content-managers/services,CM Services editor,mobile/.../cm/editors/ServicesEditor.tsx,PARITY,Same CM draft API path on mobile.
/content-managers/branches,CM Locations/Branches editor,mobile/.../cm/editors/BranchesEditor.tsx,PARITY,Same CM draft API path on mobile.
/content-managers/opening-hours,CM Opening Hours editor,mobile/.../cm/editors/OpeningHoursEditor.tsx,PARITY,Same CM draft API path on mobile.
/content-managers/prices,CM Prices editor,mobile/.../cm/editors/PricesEditor.tsx,PARITY,Same CM draft API path on mobile.
/content-managers/care,CM Care articles editor,mobile/.../cm/editors/ArticlesEditor.tsx (care),PARITY,Same CM draft API path on mobile.
/content-managers/knowledge,CM Knowledge articles editor,mobile/.../cm/editors/ArticlesEditor.tsx (knowledge),PARITY,Same CM draft API path on mobile.
/content-managers/faq,CM FAQ visual editor,mobile/linas-ai/src/features/faq/FaqScreen.tsx (FaqRoute),PARITY,Mobile FAQ is a first-class drawer module (not only CM section).
/content-managers/learning-inbox,Learning Inbox (unclear→FAQ pipeline),LiveChat LikeFeedbackModal (partial substitute only),DEFERRED_OWNER,No dedicated Learning Inbox screen under mobile/. Like-to-FAQ in LiveChat is partial. Owner accepts gap for SPA trim; do not claim full parity.
/content-managers/handoff,CM Human Handoff editor,mobile/.../cm/editors/HandoffEditor.tsx,PARITY,Same CM draft API path on mobile.
/content-managers/restricted,CM Restricted topics editor,mobile/.../cm/editors/PolicyEditors.tsx RestrictedEditor,PARITY,Same CM draft API path on mobile.
/content-managers/actions,CM Actions/Capabilities editor,mobile/.../cm/editors/PolicyEditors.tsx ActionsEditor (Settings-hosted),PARITY,Mobile hosts actions under SettingsScreen→cm_section actions (showInCmHub:false).
/content-managers/comments,CM Comments policy editor,mobile/.../cm/editors/CommentsEditor.tsx,PARITY,Same CM draft API path on mobile.
/content-managers/ai-limits,CM AI Limits editor,mobile/.../cm/editors/PolicyEditors.tsx AiLimitsEditor (Settings-hosted),PARITY,Mobile hosts ai_limits under SettingsScreen→cm_section.
/content-managers/off-days,CM Off Days editor,mobile/.../cm/editors/OffDaysEditor.tsx,PARITY,Same CM draft API path on mobile.
/content-managers/sources,Sources & Archive inventory,n/a,DEFERRED_OWNER,Web-only ops/archive inventory (checksums/migrated files). Not ported to mobile; owner defers — not required for day-to-day mobile ops.
/content-managers/publish,Preview / Validate / Publish hub,CmScreen publish CTA + chat publish_cm/validate_cm tools,PARTIAL,No dedicated Publish screen on mobile; publish/validate via CM readiness + owner chat tools. Mobile is primary path; web publish page may be removed from SPA.
/content-managers/:sectionSlug,Generic CM section fallback page,CmSectionScreen for known CmSectionId,PARTIAL,Web catch-all for unknown slugs; mobile only opens known section ids from cmSections.ts.
/activity-flow,Interaction Logs (flow logs UI),n/a (permission key activityFlow exists on users only),DEFERRED_OWNER,No ActivityFlow/Interaction Logs screen in mobile AppScreenTree/drawerModules. Permission bit exists for future. Owner explicitly defers web-only logs UI for SPA trim.
/live-chat,Operator Live Chat (desktop web),mobile/linas-ai/src/features/livechat/LiveChatScreen.tsx,PARITY,Expo LiveChatScreen is primary (inbox+thread+like-FAQ). Web /live-chat SPA may redirect to get-app.
/mobile/live-chat,APK/WebView Live Chat bridge (LiveChat mobile=true),LiveChatScreen (Expo) supersedes for new clients; bridge kept for APK,PARTIAL,Sidebar still offers live-chat-android.apk download. KEEP /mobile/live-chat protected route until APK retired; Expo is preferred.
/wallet,Token Wallet (Stripe packs + spend analytics),mobile/.../billing/BillingScreen.tsx (subscription/plans/credits),PARTIAL,Related but not equal: web Wallet = /api/billing/wallet packs; mobile Billing = plans/entitlements/usage (no wallet pack checkout found). Mobile billing primary; token-pack Stripe UX DEFERRED_OWNER gap accepted for SPA trim.
/settings,Web Settings (general/security/notifications/users tabs),mobile/.../settings/SettingsScreen.tsx + UsersScreen + NotificationsScreen,PARTIAL,Mobile splits settings/users/notifications/integrations. Web Settings users tab ≈ UsersScreen. Security password flows lean on thin web auth. Safe to drop operator Settings SPA in favor of mobile.
/analytics,Legacy redirect → /app,DashboardScreen,PARITY,Already Navigate→/app; after trim both go to get-app.
/smart-messaging,Legacy redirect → /content-managers,mobile/.../smartFollowUp/SmartFollowUpScreen.tsx,MOBILE_ONLY,Web route is redirect-only; Smart Follow-Up is mobile drawer module (no dedicated web operator page).
/social-posts,Legacy redirect → /content-managers,n/a,DEFERRED_OWNER,Web redirect stub only; no dedicated social-posts module in mobile AppScreenTree/drawerModules.
/testing,Legacy redirect → /content-managers,n/a,DEFERRED_OWNER,Debug/lab redirect only; not a product surface for mobile parity.
/api-debug,Legacy redirect → /content-managers,n/a,DEFERRED_OWNER,Debug/lab redirect only; not a product surface for mobile parity.
(none),Integrations (IG/FB/WA connect),mobile/linas-ai/src/features/integrations/IntegrationsScreen.tsx,MOBILE_ONLY,Removed from web Settings tabs (Settings.integrations.test asserts Integrations hidden). Mobile-only operator surface.
(none),Users / team permissions,mobile/linas-ai/src/features/users/UsersScreen.tsx,MOBILE_ONLY,Also mirrored historically under web Settings users tab; mobile UsersScreen is primary.
(none),Notifications center,mobile/linas-ai/src/features/notifications/NotificationsScreen.tsx,MOBILE_ONLY,Web Settings notifications tab is linas-tenant prefs only; mobile has full notifications→livechat open.
(none),Owner Control Center,mobile/linas-ai/src/features/control/OwnerPortalScreen.tsx,MOBILE_ONLY,Platform-owner mobile surface; no web route in App.jsx.
(none),Smart Follow-Up (also covered by /smart-messaging redirect row),mobile/linas-ai/src/features/smartFollowUp/SmartFollowUpScreen.tsx,MOBILE_ONLY,First-class mobile drawer module; web has no dedicated operator page.
